Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0021, Momentum: 0,99, L2: 0,0000] -> Accuracy: 96,50%, Precision: 0,9973, Recall: 0,9325, F1-Score: 0,9638
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,99, L2: 0,0000] -> Accuracy: 95,50%, Precision: 0,9973, Recall: 0,9125, F1-Score: 0,9530
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0021, Momentum: 1,00, L2: 0,0000] -> Accuracy: 97,75%, Precision: 0,9923, Recall: 0,9625, F1-Score: 0,9772
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0022, Momentum: 1,00, L2: 0,0000] -> Accuracy: 96,25%, Precision: 0,9490, Recall: 0,9775, F1-Score: 0,9631
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0021, Momentum: 1,00, L2: 0,0000] -> Accuracy: 96,75%, Precision: 0,9973, Recall: 0,9375, F1-Score: 0,9665
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0022, Momentum: 0,99, L2: 0,0000] -> Accuracy: 96,13%, Precision: 0,9973, Recall: 0,9250, F1-Score: 0,9598
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 1,00, L2: 0,0000] -> Accuracy: 97,63%, Precision: 0,9948, Recall: 0,9575, F1-Score: 0,9758
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0022, Momentum: 0,99, L2: 0,0000] -> Accuracy: 97,88%, Precision: 0,9824, Recall: 0,9750, F1-Score: 0,9787
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0022, Momentum: 1,00, L2: 0,0000] -> Accuracy: 95,25%, Precision: 1,0000, Recall: 0,9050, F1-Score: 0,9501
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0021, Momentum: 0,99, L2: 0,0000] -> Accuracy: 97,50%, Precision: 0,9872, Recall: 0,9625, F1-Score: 0,9747
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,98, L2: 0,0000] -> Accuracy: 97,50%, Precision: 0,9774, Recall: 0,9725, F1-Score: 0,9749
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,98, L2: 0,0000] -> Accuracy: 98,00%, Precision: 0,9848, Recall: 0,9750, F1-Score: 0,9799
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0021, Momentum: 0,98, L2: 0,0000] -> Accuracy: 98,25%, Precision: 0,9825, Recall: 0,9825, F1-Score: 0,9825
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0021, Momentum: 0,98, L2: 0,0000] -> Accuracy: 97,88%, Precision: 0,9799, Recall: 0,9775, F1-Score: 0,9787
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0022, Momentum: 0,98, L2: 0,0000] -> Accuracy: 97,63%, Precision: 0,9798, Recall: 0,9725, F1-Score: 0,9762
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0021, Momentum: 1,00, L2: 0,0000] -> Accuracy: 96,75%, Precision: 0,9973, Recall: 0,9375, F1-Score: 0,9665
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0022, Momentum: 0,98, L2: 0,0000] -> Accuracy: 97,75%, Precision: 0,9775, Recall: 0,9775, F1-Score: 0,9775
